ID,TAXONOMY,IS_HCP
16344,207,1
56981,143,1
47942,207,0
43396,149,1
59128,207,0
79125,207,1
24446,207,0
42927,207,0
107839,138,1
22241,207,0
109926,43,1
16284,207,0
104233,207,0
71486,143,1
1129,149,1
2117,207,0
27747,207,0
40346,207,0
83507,207,0
113488,207,0
73337,207,0
38987,207,0
79044,207,0
41651,149,1
90874,143,1
49595,207,0
109840,207,0
43721,207,0
109959,112,1
2220,207,0
35828,43,1
74600,207,0
34811,207,0
17116,207,0
61571,207,0
110611,207,0
28480,207,0
14371,43,1
64037,207,0
91224,207,0
2575,207,0
7397,143,1
5569,207,0
98167,207,0
45750,207,0
99426,207,0
13257,143,1
37733,207,0
60591,207,0
114552,207,0
1116,207,0
42078,207,0
76780,207,0
20445,207,0
26180,207,0
71689,143,1
103763,207,0
81356,149,1
24652,149,1
102838,207,0
60361,207,0
74888,207,0
23551,207,0
59455,207,0
33087,207,0
100374,207,0
45148,207,0
90093,207,0
86884,207,0
91560,207,0
85020,207,0
50534,207,0
84775,207,0
26731,207,0
43896,149,1
1857,207,0
33841,207,0
103252,149,1
102580,43,1
11875,149,1
66236,207,0
12862,207,0
82309,50,1
13493,207,0
8865,207,0
106350,143,1
97768,207,0
97482,149,1
73050,207,0
52131,207,0
15005,207,0
1964,207,0
25330,207,0
2026,207,0
72411,149,1
58223,207,0
97929,207,0
62508,143,1
73748,207,0
7761,207,0
13071,207,0
97993,50,1
10287,207,0
79676,207,0
64415,152,1
42039,149,1
51689,149,1
63591,207,0
8390,207,0
103880,207,0
3876,207,0
93277,50,1
4936,207,0
65608,207,0
31613,207,0
92498,43,1
88573,207,0
86324,207,0
9519,207,0
22770,207,0
23176,207,0
74012,207,0
36388,207,0
26330,207,0
44150,207,0
93056,207,0
35753,207,0
14955,143,1
34606,207,0
112417,143,1
101296,207,0
105419,207,0
105614,207,0
39327,207,0
101630,207,0
99008,207,0
91441,207,0
3816,207,0
85888,207,0
67188,79,1
92903,207,0
7076,207,0
74834,149,1
5271,207,0
72920,207,0
55257,207,1
99352,207,0
52255,207,0
76405,207,0
99529,207,0
30096,207,0
86478,207,0
19533,185,1
77741,149,1
10106,207,0
63530,43,1
67863,207,0
103237,143,1
57129,207,0
71620,207,0
96728,207,0
73114,207,0
29292,207,0
43834,207,0
46447,207,0
43938,143,1
24629,207,0
88572,207,0
82822,149,1
61706,207,0
98297,207,0
88678,207,0
110647,143,1
103353,207,0
86869,50,1
31755,207,0
87614,207,0
54266,143,1
48159,207,0
110364,149,1
33184,207,0
30299,207,0
18164,149,1
75572,207,0
21247,143,1
36249,207,0
30396,207,0
73197,143,1
47961,207,0
12575,86,1
41679,207,0
68811,143,1
19894,207,0
63170,207,1
111290,207,0
111366,207,0
104621,149,1
21484,207,0
87860,207,0
17422,207,0
6423,50,1
49654,207,0
40651,207,0
26656,207,0
89084,207,0
28967,207,0
71617,64,1
71083,149,1
72239,207,0
93928,207,0
110861,207,1
55093,149,1
66204,97,1
87401,207,0
27801,207,0
20621,207,0
111873,207,0
97238,207,0
93055,143,1
49450,207,0
112978,207,0
14074,160,1
23820,207,0
18096,207,0
78195,149,1
28222,207,0
17950,143,1
68867,76,1
63180,207,0
106304,207,0
33811,207,0
40708,207,0
11138,207,0
9093,207,0
27268,207,0
16183,60,1
78315,207,0
72361,207,0
45215,149,1
72483,207,0
96473,207,0
62770,207,0
56386,207,0
52510,207,0
34787,207,0
70998,207,0
84852,207,0
110122,207,0
29954,207,0
66389,149,1
9363,207,0
9310,207,0
9685,207,0
107842,207,0
8034,207,0
104956,207,0
26175,207,0
72248,207,0
77872,56,1
109593,207,0
105239,207,0
82028,207,0
81037,143,1
81012,207,0
104732,207,0
5273,207,0
87903,86,1
61146,149,1
64470,207,0
99481,207,0
42340,207,0
14006,207,0
43053,207,0
54931,207,0
95389,43,1
103561,59,1
17223,207,0
99360,60,1
45904,207,0
65899,207,1
99335,143,1
11046,43,1
68231,18,1
2881,50,1
50018,207,0
79299,207,0
79571,207,0
1363,207,0
53046,207,0
89502,207,0
23373,207,0
78460,207,0
25494,207,0
1617,207,0
2003,143,1
83669,143,1
3073,207,0
27463,207,0
12204,207,0
37511,207,0
99183,207,0
79333,207,0
2863,207,0
15537,207,0
84579,207,0
82811,207,0
103987,207,0
31453,143,1
60451,143,1
27566,37,1
22694,207,0
75548,207,0
31919,143,1
110612,207,0
107181,207,0
65719,207,0
45049,207,0
105463,207,0
41711,207,0
55441,207,0
77586,207,0
54780,50,1
74126,143,1
50330,60,1
40621,207,0
69615,207,0
47075,207,0
7348,207,0
64126,207,0
64298,207,0
56535,207,0
99170,207,0
45119,175,1
41053,207,0
73175,207,0
21950,207,0
17817,207,0
54821,207,0
58087,207,0
11948,207,0
5557,207,0
23993,207,0
62965,207,0
55882,207,1
10130,207,0
46093,43,1
40875,207,0
22078,207,0
3725,50,1
13641,207,0
81468,207,0
28902,207,0
31819,207,0
98376,207,0
46046,207,0
15556,207,0
97128,149,1
76109,103,1
89188,207,0
1088,207,0
20213,207,0
62344,207,0
59903,207,0
46455,207,0
95619,149,1
48167,207,0
35181,50,1
43394,207,0
81317,143,1
9749,207,0
47006,207,0
87690,207,0
65257,207,0
40250,43,1
81087,149,1
18977,207,0
35617,143,1
45199,143,1
41962,43,1
104367,33,1
22777,207,0
53774,207,0
10250,43,1
16715,207,0
37619,207,0
16197,207,0
68383,143,1
40305,207,0
114663,207,0
82179,207,0
56173,207,0
103537,207,0
17169,149,1
105934,143,1
9441,143,1
45479,33,1
86322,33,1
3260,143,1
87110,207,0
39769,149,1
61945,207,0
10482,207,0
59339,143,1
17636,149,1
32166,207,0
85373,207,0
37708,207,0
84381,207,0
80126,207,0
35305,207,0
93453,207,0
44510,149,1
29432,207,0
59864,207,0
104043,207,0
20887,207,0
9683,43,1
19405,207,0
103524,207,0
10204,207,0
30557,207,0
10256,207,0
98153,207,0
63184,207,0
42468,50,1
70373,207,0
113413,207,0
114594,207,0
40383,207,0
14480,207,0
73801,207,0
103132,143,1
84681,207,0
30636,207,0
1652,207,0
9593,64,1
29368,207,0
88636,207,0
114535,207,0
46425,207,0
8731,207,0
3788,207,1
51665,207,0
98180,207,0
47550,207,0
86163,68,1
15409,207,0
112593,43,1
46138,207,0
24768,149,1
6720,207,0
92858,207,1
68325,207,0
110985,207,0
78578,207,0
40173,207,0
13987,149,1
71492,207,0
72529,207,0
33427,207,0
113766,207,0
81591,207,0
2842,69,1
106062,207,0
95494,60,1
37306,143,1
19145,207,0
108151,144,1
106855,149,1
95108,207,0
48105,207,0
20489,143,1
82020,207,0
53691,207,0
37297,207,0
52297,207,0
95766,207,0
96787,207,0
77693,207,0
45061,207,0
49691,143,1
34781,207,0
30523,207,0
87693,207,0
30041,149,1
50119,149,1
55943,207,0
114845,207,0
25099,149,1
89815,207,0
16799,207,0
12337,207,0
58698,207,0
35998,207,0
13784,207,0
95749,207,0
6961,207,0
16483,43,1
62163,207,0
37437,207,0
83590,207,0
73074,143,1
63558,207,0
76694,207,0
79359,207,1
87831,149,1
112762,207,0
51897,207,0
85331,207,0
30938,60,1
30729,149,1
38279,207,0
98680,207,0
33112,207,0
7844,207,0
47988,143,1
94144,207,0
18739,207,0
55539,207,1
5314,207,0
91975,143,1
81814,207,0
48827,207,0
18285,160,1
73507,143,1
20712,207,0
62552,149,1
87502,207,0
59382,143,1
24171,43,1
30947,207,0
22230,143,1
32956,207,0
1305,207,0
12193,207,0
107173,207,1
109396,207,0
28666,79,1
16496,207,0
102802,207,0
97472,207,0
28964,207,0
96581,207,0
33577,43,1
87839,207,0
95438,207,0
46064,207,0
34932,207,0
55266,112,1
32651,207,0
100211,43,1
18069,207,0
102263,207,0
64061,207,0
81931,207,0
2479,207,0
104083,207,0
64683,207,0
101882,143,1
102345,207,0
105670,60,1
104528,43,1
44426,28,1
33923,207,1
53121,149,1
112875,207,0
48116,207,0
74916,207,0
73654,143,1
36889,207,0
29863,112,1
78440,149,1
21174,143,1
66846,149,1
75466,207,0
30983,143,1
105722,207,0
70274,207,0
10563,207,0
62211,207,0
8163,207,0
107324,207,0
44819,43,1
24645,207,0
83557,207,0
102070,207,0
39777,207,0
102578,207,0
78729,207,0
55560,56,1
55602,207,1
69154,143,1
24160,143,1
73946,207,0
34508,207,0
74676,207,0
18521,207,0
94375,143,1
23662,207,0
35975,207,0
84081,207,0
36457,207,0
80167,207,0
53442,207,0
13805,207,0
80407,149,1
54895,207,0
12728,207,0
65056,149,1
94658,207,0
107992,43,1
104907,207,0
107387,207,0
106549,207,1
6780,207,0
48829,207,0
114818,59,1
88941,207,0
93730,207,0
57581,207,0
16952,143,1
24477,207,0
109768,207,0
44843,207,0
64543,207,0
8165,207,0
7873,207,0
3624,207,0
41472,207,0
52163,73,1
22806,207,0
96147,207,0
32004,207,0
16322,207,0
39645,143,1
47019,149,1
12526,207,0
57466,207,0
46782,207,0
66420,207,0
101764,207,0
51283,207,0
22290,207,0
98352,149,1
78428,143,1
12738,207,0
55042,143,1
51603,207,0
103778,207,0
100585,207,0
71079,207,0
61452,149,1
95679,143,1
111522,207,0
58380,207,0
45705,43,1
92679,207,0
65435,207,0
23354,207,0
40541,207,0
50803,207,0
75247,207,1
67523,207,0
51513,207,0
109116,207,0
112034,43,1
73462,207,0
48805,207,0
98743,207,0
10664,112,1
58118,151,1
104112,207,0
85505,43,1
26869,149,1
13724,207,0
13213,207,0
24286,149,1
16467,207,0
95462,207,0
99543,207,0
3990,207,0
83542,43,1
1805,136,1
79218,207,0
4031,207,0
7236,207,0
49186,43,1
6773,207,0
75437,207,0
98638,207,0
114900,207,0
84903,207,0
57963,207,0
38869,207,1
86509,207,0
51686,207,0
1887,207,0
28412,207,0
111429,207,0
16754,207,0
82176,207,0
89971,207,0
36313,207,0
55351,43,1
6568,207,0
96467,207,0
24208,50,1
39130,143,1
107703,145,1
86697,207,1
45962,207,0
88799,207,0
20767,149,1
26055,207,0
63705,60,1
4615,207,0
75758,207,0
73344,207,0
79530,207,0
113195,207,0
37460,207,0
47727,207,0
38812,207,0
65901,149,1
87450,207,0
28233,207,0
30257,207,0
23090,207,0
24445,207,0
46658,207,0
76130,207,0
86423,207,0
68802,207,0
65938,207,0
14521,207,0
41009,207,0
98868,207,0
43602,207,0
53819,58,1
38736,207,0
81596,207,0
18497,207,0
40139,207,0
106858,207,0
70086,207,0
48022,207,0
111887,207,0
101666,149,1
83130,207,0
61399,207,0
111567,207,0
90851,207,0
41998,207,0
111960,207,0
61330,143,1
60247,207,0
46899,207,0
8696,43,1
72586,207,0
3661,149,1
53207,207,0
